,epoch,train_loss,test_loss,train_r2,test_r2
0,1,8359.3232421875,4108.46337890625,-278.31024703764405,-135.19606401109056
1,2,4098.07666015625,4103.30615234375,-134.27778520564027,-135.02510498560494
2,3,4092.056884765625,4096.83203125,-134.0862429567498,-134.81048645171165
3,4,4085.128173828125,4089.77587890625,-133.86369269705034,-134.57658705550918
4,5,4077.896484375,4082.416015625,-133.62634788771993,-134.33258678594075
5,6,4070.467529296875,4074.87890625,-133.38097164448322,-134.08274420099
6,7,4062.624755859375,4067.232666015625,-133.13077679479744,-133.82926917669565
7,8,4054.719970703125,4059.5126953125,-132.87757369224227,-133.57334529224514
8,9,4046.78125,4051.74267578125,-132.62226028183966,-133.31576510482546
9,10,4040.756591796875,4043.93896484375,-132.36535254600054,-133.0570793305742
10,11,4032.852294921875,4036.104736328125,-132.10769834401046,-132.79737249583147
11,12,4023.950439453125,4028.25,-131.8491156163075,-132.53699196468366
12,13,4017.670654296875,4020.383056640625,-131.58981541214024,-132.27619590234994
13,14,4008.697509765625,4012.504638671875,-131.33019430541697,-132.01502706569116
14,15,4000.35205078125,4004.61669921875,-131.0703786966234,-131.7535475761178
15,16,3993.094970703125,3996.724365234375,-130.8102078855459,-131.49190797695167
16,17,3985.259521484375,3988.8310546875,-130.54980316463192,-131.23023309103306
17,18,3978.07861328125,3980.933349609375,-130.2895333401282,-130.9684372562632
18,19,3968.437744140625,3973.035400390625,-130.02918564102964,-130.7066079881047
19,20,3961.256103515625,3965.140380859375,-129.7686864941619,-130.44489094153104
20,21,3952.434326171875,3957.245361328125,-129.50846416259174,-130.1831692332213
21,22,3945.06005859375,3949.355224609375,-129.24815187323276,-129.92161954782992
22,23,3937.519775390625,3941.468994140625,-128.98805005988908,-129.66018410195085
23,24,3929.34765625,3933.586669921875,-128.72808067181145,-129.3988758097801
24,25,3921.845458984375,3925.711181640625,-128.46808660404403,-129.13781858770926
25,26,3913.68408203125,3917.841552734375,-128.20843828415767,-128.8769304399008
26,27,3906.73974609375,3909.975341796875,-127.94905032916805,-128.6161704844398
27,28,3898.319091796875,3902.1171875,-127.6897044926389,-128.35566504682106
28,29,3891.017822265625,3894.26220703125,-127.43078885803948,-128.09527597725037
29,30,3882.539306640625,3886.417236328125,-127.17179214926065,-127.8352140628163
30,31,3874.579833984375,3878.580322265625,-126.91317580994733,-127.57541652385399
31,32,3866.05908203125,3870.74853515625,-126.65495434531611,-127.31579909300862
32,33,3858.72021484375,3862.92724609375,-126.39679426801355,-127.05651023092821
33,34,3851.235595703125,3855.112548828125,-126.13905100655272,-126.79744897379686
34,35,3843.49755859375,3847.307861328125,-125.88138974264906,-126.53873378312747
35,36,3836.12939453125,3839.5126953125,-125.6240808245648,-126.2803200432998
36,37,3827.21630859375,3831.722412109375,-125.36726959084956,-126.02206599491147
37,38,3819.609130859375,3823.942626953125,-125.11050304660861,-125.76417054140089
38,39,3811.14111328125,3816.17138671875,-124.85417422602674,-125.50653925023869
39,40,3805.153564453125,3808.41259765625,-124.59789776395748,-125.24934783218656
40,41,3796.21533203125,3800.661865234375,-124.34214433751538,-124.99240999045706
41,42,3789.28515625,3792.919921875,-124.08670513875367,-124.73575671426471
42,43,3781.525146484375,3785.1865234375,-123.83153846967974,-124.47939837651191
