,number,value,datetime_start,datetime_complete,duration,params_batcher,params_learning_rate,params_n_dim_0,params_n_dim_1,params_n_dim_2,params_n_dim_3,params_n_layers,state
0,0,0.8660064817618178,2023-12-08 21:20:08.788536,2023-12-08 21:21:18.473993,0 days 00:01:09.685457,True,0.008646976968890727,181.0,132.0,125.0,,4,COMPLETE
1,1,0.7972039692698816,2023-12-08 21:21:18.474991,2023-12-08 21:22:29.376470,0 days 00:01:10.901479,False,0.0006975641348274792,190.0,,,,2,COMPLETE
2,2,0.8130472632062355,2023-12-08 21:22:29.377470,2023-12-08 21:23:45.153962,0 days 00:01:15.776492,False,0.004318543004301319,403.0,324.0,495.0,,4,COMPLETE
3,3,0.8875302762419887,2023-12-08 21:23:45.154963,2023-12-08 21:25:01.064178,0 days 00:01:15.909215,False,0.0065806054377971785,274.0,11.0,427.0,,4,COMPLETE
4,4,0.7653639896593778,2023-12-08 21:25:01.065169,2023-12-08 21:26:13.469076,0 days 00:01:12.403907,False,0.00017938501619613588,441.0,,,,2,COMPLETE
5,5,-749.3154666033421,2023-12-08 21:26:13.471076,2023-12-08 21:27:22.298319,0 days 00:01:08.827243,True,4.275881027213853e-05,,,,,1,COMPLETE
6,6,-245.4494115070927,2023-12-08 21:27:22.299318,2023-12-08 21:28:35.022163,0 days 00:01:12.722845,False,2.2964017509466786e-05,219.0,420.0,163.0,378.0,5,COMPLETE
7,7,-643.6817541292614,2023-12-08 21:28:35.024373,2023-12-08 21:29:48.098389,0 days 00:01:13.074016,True,7.163439557395948e-05,,,,,1,COMPLETE
8,8,-740.8464017342378,2023-12-08 21:29:48.099388,2023-12-08 21:31:05.536873,0 days 00:01:17.437485,True,1.1455493247549336e-05,494.0,42.0,,,3,COMPLETE
9,9,0.7498971271412808,2023-12-08 21:31:05.537872,2023-12-08 21:32:21.574676,0 days 00:01:16.036804,False,0.00020010964855159027,257.0,185.0,423.0,352.0,5,COMPLETE
10,10,-13.468859057212592,2023-12-08 21:32:21.575638,2023-12-08 21:33:29.972476,0 days 00:01:08.396838,False,0.001378000053196894,15.0,1.0,331.0,,4,COMPLETE
11,11,0.8376388853319415,2023-12-08 21:33:29.974478,2023-12-08 21:34:43.950472,0 days 00:01:13.975994,True,0.009355943529528161,111.0,145.0,33.0,,4,COMPLETE
12,12,0.9316672875257372,2023-12-08 21:34:43.951475,2023-12-08 21:35:55.972492,0 days 00:01:12.021017,True,0.009597949948171597,330.0,134.0,,,3,COMPLETE
13,13,0.8512660454236375,2023-12-08 21:35:55.973489,2023-12-08 21:37:12.130260,0 days 00:01:16.156771,True,0.0025503169112210387,334.0,85.0,,,3,COMPLETE
14,14,0.8544525231214634,2023-12-08 21:37:12.132261,2023-12-08 21:38:25.001637,0 days 00:01:12.869376,True,0.0028246605406092094,308.0,,,,2,COMPLETE
15,15,0.8215245567879768,2023-12-08 21:38:25.002635,2023-12-08 21:39:33.694643,0 days 00:01:08.692008,False,0.0008924376014309771,361.0,255.0,,,3,COMPLETE
16,16,-0.02952984674332195,2023-12-08 21:39:33.696640,2023-12-08 21:40:46.712801,0 days 00:01:13.016161,False,0.009498797951972634,298.0,227.0,314.0,5.0,5,COMPLETE
17,17,0.8463153515891646,2023-12-08 21:40:46.713801,2023-12-08 21:42:04.906719,0 days 00:01:18.192918,True,0.004230360330164057,118.0,85.0,510.0,,4,COMPLETE
18,18,0.7986807445107313,2023-12-08 21:42:04.907719,2023-12-08 21:43:25.486499,0 days 00:01:20.578780,True,0.0004539642557904489,377.0,10.0,,,3,COMPLETE
19,19,0.8442258988124319,2023-12-08 21:43:25.487519,2023-12-08 21:44:40.632539,0 days 00:01:15.145020,False,0.001914696048546327,271.0,,,,2,COMPLETE
20,20,0.8247846543333246,2023-12-08 21:44:40.634536,2023-12-08 21:45:53.613116,0 days 00:01:12.978580,False,0.004302872439388049,457.0,319.0,365.0,,4,COMPLETE
21,21,0.9107669221514028,2023-12-08 21:45:53.614115,2023-12-08 21:47:08.808191,0 days 00:01:15.194076,True,0.008958742348806602,175.0,142.0,,,3,COMPLETE
22,22,0.8698265197969896,2023-12-08 21:47:08.809190,2023-12-08 21:48:26.825224,0 days 00:01:18.016034,True,0.006455324674279224,154.0,122.0,,,3,COMPLETE
23,23,0.8875355773585124,2023-12-08 21:48:26.828226,2023-12-08 21:49:43.662796,0 days 00:01:16.834570,True,0.004485402332447493,216.0,193.0,,,3,COMPLETE
24,24,0.8013505255000701,2023-12-08 21:49:43.664794,2023-12-08 21:50:55.312989,0 days 00:01:11.648195,True,0.0015341093999875028,76.0,,,,2,COMPLETE
25,25,0.8641225065736036,2023-12-08 21:50:55.313989,2023-12-08 21:52:06.601549,0 days 00:01:11.287560,True,0.0033734055091471033,224.0,192.0,,,3,COMPLETE
26,26,0.9214525780247683,2023-12-08 21:52:06.603549,2023-12-08 21:53:21.133330,0 days 00:01:14.529781,True,0.005500655120765626,228.0,299.0,,,3,COMPLETE
27,27,0.8187360385530351,2023-12-08 21:53:21.135330,2023-12-08 21:54:38.920671,0 days 00:01:17.785341,True,0.009711086154697434,150.0,309.0,,,3,COMPLETE
28,28,0.805996393021905,2023-12-08 21:54:38.922671,2023-12-08 21:55:53.215052,0 days 00:01:14.292381,True,0.0022320721805015775,66.0,,,,2,COMPLETE
29,29,0.7272776169979844,2023-12-08 21:55:53.217051,2023-12-08 21:57:02.905770,0 days 00:01:09.688719,True,0.006366991604464243,325.0,437.0,,,3,COMPLETE
30,30,0.8778308077072545,2023-12-08 21:57:02.907769,2023-12-08 21:58:09.876385,0 days 00:01:06.968616,True,0.006128885066374874,238.0,,,,2,COMPLETE
31,31,0.8671148351925633,2023-12-08 21:58:09.877386,2023-12-08 21:59:21.568161,0 days 00:01:11.690775,True,0.004192536512273394,202.0,214.0,,,3,COMPLETE
32,32,0.8731955328211012,2023-12-08 21:59:21.569159,2023-12-08 22:00:38.177025,0 days 00:01:16.607866,True,0.00588180883173212,159.0,279.0,,,3,COMPLETE
33,33,0.8558483827933575,2023-12-08 22:00:38.179024,2023-12-08 22:01:56.233926,0 days 00:01:18.054902,True,0.0027800419350980086,187.0,362.0,,,3,COMPLETE
34,34,-0.4022025013211592,2023-12-08 22:01:56.234927,2023-12-08 22:03:07.607395,0 days 00:01:11.372468,True,0.009354669600719083,252.0,512.0,211.0,,4,COMPLETE
35,35,0.8636711806113617,2023-12-08 22:03:07.608395,2023-12-08 22:04:20.411379,0 days 00:01:12.802984,True,0.0043115938724538755,184.0,,,,2,COMPLETE
36,36,0.8666020983688792,2023-12-08 22:04:20.413379,2023-12-08 22:05:38.502934,0 days 00:01:18.089555,True,0.006279216202454316,280.0,153.0,8.0,,4,COMPLETE
37,37,0.8105286473700758,2023-12-08 22:05:38.503934,2023-12-08 22:07:00.850976,0 days 00:01:22.347042,True,0.001126985634811343,354.0,87.0,,,3,COMPLETE
38,38,0.8399701542829696,2023-12-08 22:07:00.853364,2023-12-08 22:08:15.189347,0 days 00:01:14.335983,True,0.0018242558543701017,399.0,,,,2,COMPLETE
39,39,0.714965527821289,2023-12-08 22:08:15.190347,2023-12-08 22:09:27.022193,0 days 00:01:11.831846,True,0.0032095274047959192,,,,,1,COMPLETE
40,40,0.7948044003186773,2023-12-08 22:09:27.023191,2023-12-08 22:10:44.378363,0 days 00:01:17.355172,True,0.0007347180589119973,118.0,174.0,,,3,COMPLETE
41,41,0.8259883900199199,2023-12-08 22:10:44.379363,2023-12-08 22:12:04.288934,0 days 00:01:19.909571,False,0.0067015717431284485,213.0,233.0,397.0,,4,COMPLETE
42,42,0.9037227561567516,2023-12-08 22:12:04.290935,2023-12-08 22:13:15.338374,0 days 00:01:11.047439,False,0.005309755466557232,278.0,50.0,270.0,,4,COMPLETE
43,43,0.8914420673097968,2023-12-08 22:13:15.339372,2023-12-08 22:14:31.522418,0 days 00:01:16.183046,False,0.004431201938464726,294.0,117.0,258.0,,4,COMPLETE
44,44,0.8928757011042885,2023-12-08 22:14:31.524415,2023-12-08 22:15:45.127188,0 days 00:01:13.602773,False,0.00732762054529174,302.0,116.0,263.0,90.0,5,COMPLETE
45,45,-0.0027699545269123773,2023-12-08 22:15:45.128180,2023-12-08 22:17:02.027211,0 days 00:01:16.899031,False,0.009969177659117843,326.0,67.0,257.0,81.0,5,COMPLETE
46,46,0.8129870627893844,2023-12-08 22:17:02.029121,2023-12-08 22:18:21.891415,0 days 00:01:19.862294,False,0.007524371964446023,256.0,47.0,106.0,181.0,5,COMPLETE
47,47,0.8500315576286693,2023-12-08 22:18:21.893414,2023-12-08 22:19:49.092493,0 days 00:01:27.199079,False,0.0020165858943795275,416.0,107.0,199.0,174.0,5,COMPLETE
48,48,0.9496958645762505,2023-12-08 22:19:49.094493,2023-12-08 22:21:17.553884,0 days 00:01:28.459391,False,0.007698706581726475,344.0,50.0,294.0,,4,COMPLETE
49,49,0.8668898136524434,2023-12-08 22:21:17.555883,2023-12-08 22:22:45.587497,0 days 00:01:28.031614,False,0.00312245126763305,381.0,40.0,309.0,,4,COMPLETE
