,number,value,datetime_start,datetime_complete,duration,params_batcher,params_learning_rate,params_n_dim_0,params_n_dim_1,params_n_dim_2,params_n_dim_3,params_n_layers,state
0,0,-1992.0028016202352,2023-12-07 02:11:25.073481,2023-12-07 02:12:37.333823,0 days 00:01:12.260342,True,0.00012283810149722017,,,,,1,COMPLETE
1,1,-0.2655319291145547,2023-12-07 02:12:37.334822,2023-12-07 02:13:51.620349,0 days 00:01:14.285527,False,0.001328837388182706,403.0,203.0,416.0,286.0,5,COMPLETE
2,2,-2019.3356250263103,2023-12-07 02:13:51.622349,2023-12-07 02:15:03.703500,0 days 00:01:12.081151,False,7.9244391067375e-05,,,,,1,COMPLETE
3,3,-4.3920134989002095,2023-12-07 02:15:03.704499,2023-12-07 02:16:16.041465,0 days 00:01:12.336966,True,0.000203017973248319,254.0,133.0,,,3,COMPLETE
4,4,-8.871967072333948,2023-12-07 02:16:16.043506,2023-12-07 02:17:27.789967,0 days 00:01:11.746461,False,0.00372369270078124,288.0,,,,2,COMPLETE
5,5,-1672.7984456582967,2023-12-07 02:17:27.790967,2023-12-07 02:18:38.707382,0 days 00:01:10.916415,False,0.00046210364328479225,,,,,1,COMPLETE
6,6,-0.7681291629808451,2023-12-07 02:18:38.709383,2023-12-07 02:19:52.046289,0 days 00:01:13.336906,True,0.00016311870944226263,313.0,503.0,173.0,248.0,5,COMPLETE
7,7,-0.2628261170310645,2023-12-07 02:19:52.047290,2023-12-07 02:21:04.918402,0 days 00:01:12.871112,False,0.0005898924937960955,232.0,127.0,47.0,240.0,5,COMPLETE
8,8,-5.448951865707558,2023-12-07 02:21:04.920402,2023-12-07 02:22:17.889584,0 days 00:01:12.969182,True,0.00681737519541685,357.0,,,,2,COMPLETE
9,9,-0.7804952603020949,2023-12-07 02:22:17.890584,2023-12-07 02:23:30.089890,0 days 00:01:12.199306,True,0.0034143221638905084,116.0,228.0,,,3,COMPLETE
10,10,-62.83768569310657,2023-12-07 02:23:30.091890,2023-12-07 02:24:41.415741,0 days 00:01:11.323851,False,1.1290265316854077e-05,16.0,19.0,2.0,,4,COMPLETE
